MONTH	NEPAC	NATL	WPAC	NIO	NH	SH	GLOBAL
01/01/1970	0	0	0	0	0	34.3975	34.3975
02/01/1970	0	0	21.21	0	21.21	121.4605	142.6705
03/01/1970	0	0	0	0	0	38.1975	38.1975
04/01/1970	0	0	0	0	0	2.685	2.685
05/01/1970	1.215	2.195	0	5.8175	9.2275	0.6125	9.84
06/01/1970	14.24	0	6.0075	0.1225	20.37	0.3675	20.7375
07/01/1970	16.6675	1.8825	23.7775	0	42.3275	0	42.3275
08/01/1970	18.88	12.7375	78.7875	0	110.405	0	110.405
09/01/1970	7.7375	8.52	57.6875	1.225	75.17	0	75.17
10/01/1970	16.91	8.9075	73.36	4.905	104.0825	2.45	106.5325
11/01/1970	3.63	0	26.6975	4.4275	34.755	10.8825	45.6375
12/01/1970	0	0	0	0	0	34.34	34.34
01/01/1971	0	0	1.63	0	1.63	49.14	50.77
02/01/1971	0	0	0	0	0	91.6125	91.6125
03/01/1971	0	0	0.2025	0	0.2025	61.7476	61.9501
04/01/1971	0	0	18.58	0	18.58	0	18.58
05/01/1971	6.095	0	53.36	1.3475	60.8025	0	60.8025
06/01/1971	4.32	0	14.1475	0.6125	19.08	0	19.08
07/01/1971	51.4225	1.815	82.6325	0	135.87	2.5375	138.4075
08/01/1971	29.3375	10.7525	69.64	0	109.73	0	109.73
09/01/1971	33.685	73.425	84.6875	1.635	193.4325	0	193.4325
10/01/1971	14.275	1.675	18.675	5.5725	40.1975	3.4275	43.625
11/01/1971	0.3675	8.61	28.3875	1.88	39.245	0.65	39.895
12/01/1971	0	0	0	3.6925	3.6925	43.915	47.6075
01/01/1972	0	0	8.2525	0	8.2525	35.0575	43.31
02/01/1972	0	0	0	0	0	95.3225	95.3225
03/01/1972	0	0	0	0	0	34.385	34.385
04/01/1972	0	0	0	3.585	3.585	37.3225	40.9075
05/01/1972	0	0	3.335	0	3.335	7.77	11.105
06/01/1972	7.38	6.77	21.93	0	36.08	3.7525	39.8325
07/01/1972	1.1725	0	140.53	0.3675	142.07	0	142.07
08/01/1972	99.19	10.745	54.835	0	164.77	0	164.77
09/01/1972	15.94	10.0075	46.77	6.02	78.7375	0	78.7375
10/01/1972	11.605	0	67.055	3.2275	81.8875	15.4325	97.32
11/01/1972	1.8225	0	22.9575	12.025	36.805	6.6825	43.4875
12/01/1972	0	0	30.05	4.415	34.465	24.6225	59.0875
01/01/1973	0	0	0	0	0	58.33	58.33
02/01/1973	0	0	0	0	0	38.52	38.52
03/01/1973	0	0	0	0	0	77.905	77.905
04/01/1973	0	0	0	0	0	10.675	10.675
05/01/1973	0	0	0	0	0	10.775	10.775
06/01/1973	31.5875	0	0	0.245	31.8325	0	31.8325
07/01/1973	50.935	6.7375	45.3425	0.3675	103.3825	3.3075	106.69
08/01/1973	5.285	6.545	22.3475	0	34.1775	0	34.1775
09/01/1973	9.4225	19.9225	10.3475	0	39.6925	0.89	40.5825
10/01/1973	17.4425	9.5275	64.085	1.5725	92.6275	2.6275	95.255
11/01/1973	0	0	4.9875	7.9275	12.915	14.1925	27.1075
12/01/1973	0	0	0	3.8375	3.8375	43.8375	47.675
01/01/1974	0	0	1.49	0	1.49	14.4975	15.9875
02/01/1974	0	0	0	0	0	21.98	21.98
03/01/1974	0	0	1.7325	0	1.7325	45.46	47.1925
04/01/1974	0	0	2.1175	0.3675	2.485	3.3525	5.8375
05/01/1974	1.405	0	7.53	2.205	11.14	0	11.14
06/01/1974	18.09	0	13.3975	0	31.4875	0	31.4875
07/01/1974	7.8175	0	26.6375	0	34.455	0	34.455
08/01/1974	47.005	14.4425	32.1	2.2475	95.795	0	95.795
09/01/1974	4.615	45.04	31.855	1.715	83.225	0	83.225
10/01/1974	12.245	1.05	38.5225	0	51.8175	3.04	54.8575
11/01/1974	0	0	39.595	5.1975	44.7925	7.645	52.4375
12/01/1974	0	0	3.435	0	3.435	16.63	20.065
01/01/1975	0	0	5.1875	0	5.1875	44.985	50.1725
02/01/1975	0	0	0	0	0	47.355	47.355
03/01/1975	0	0	0	0	0	53.0125	53.0125
04/01/1975	0	0	0	0	0	24.3675	24.3675
05/01/1975	0	0	0	20.56	20.56	2.265	22.825
06/01/1975	4.505	2.0075	0	0.6125	7.125	0	7.125
07/01/1975	39.345	7.92	0.5275	0	47.7925	0	47.7925
08/01/1975	29.9725	8.89	36.975	0	75.8375	1.945	77.7825
09/01/1975	27.2025	42.9275	36.7125	0	106.8425	0	106.8425
10/01/1975	9.04	11.205	37.2975	2.6625	60.205	0	60.205
11/01/1975	2.66	0	44.665	4.9275	52.2525	11.9175	64.17
12/01/1975	0	0	0	0	0	41.9175	41.9175
01/01/1976	0	0	5.23	0	5.23	69.23	74.46
